company_id,title,doc_type,url
31,Annual Report FY24 - ADANIPORTS,Annual Report,https://www.adaniports.com/reports/fy24.pdf
32,Annual Report FY24 - SIEMENS,Annual Report,https://www.siemens.com/reports/fy24.pdf
33,Annual Report FY24 - GRASIM,Annual Report,https://www.grasim.com/reports/fy24.pdf
34,Annual Report FY24 - PIDILITIND,Annual Report,https://www.pidilitind.com/reports/fy24.pdf
35,Annual Report FY24 - BEL,Annual Report,https://www.bel.com/reports/fy24.pdf
36,Annual Report FY24 - IOC,Annual Report,https://www.ioc.com/reports/fy24.pdf
37,Annual Report FY24 - HAL,Annual Report,https://www.hal.com/reports/fy24.pdf
38,Annual Report FY24 - VBL,Annual Report,https://www.vbl.com/reports/fy24.pdf
39,Annual Report FY24 - INDUSINDBK,Annual Report,https://www.indusindbk.com/reports/fy24.pdf
40,Annual Report FY24 - BPCL,Annual Report,https://www.bpcl.com/reports/fy24.pdf
41,Annual Report FY24 - NESTLEIND,Annual Report,https://www.nestleind.com/reports/fy24.pdf
42,Annual Report FY24 - GODREJCP,Annual Report,https://www.godrejcp.com/reports/fy24.pdf
43,Annual Report FY24 - DLF,Annual Report,https://www.dlf.com/reports/fy24.pdf
44,Annual Report FY24 - TRENT,Annual Report,https://www.trent.com/reports/fy24.pdf
45,Annual Report FY24 - ZOMATO,Annual Report,https://www.zomato.com/reports/fy24.pdf
46,Annual Report FY24 - CHOLAFIN,Annual Report,https://www.cholafin.com/reports/fy24.pdf
47,Annual Report FY24 - GAIL,Annual Report,https://www.gail.com/reports/fy24.pdf
48,Annual Report FY24 - DIVISLAB,Annual Report,https://www.divislab.com/reports/fy24.pdf
49,Annual Report FY24 - HDFCLIFE,Annual Report,https://www.hdfclife.com/reports/fy24.pdf
50,Annual Report FY24 - BRITANNIA,Annual Report,https://www.britannia.com/reports/fy24.pdf
51,Annual Report FY24 - CIPLA,Annual Report,https://www.cipla.com/reports/fy24.pdf
52,Annual Report FY24 - INTERGLOBE,Annual Report,https://www.interglobe.com/reports/fy24.pdf
53,Annual Report FY24 - SHRIRAMFIN,Annual Report,https://www.shriramfin.com/reports/fy24.pdf
54,Annual Report FY24 - BAJAJ-AUTO,Annual Report,https://www.bajajauto.com/reports/fy24.pdf
55,Annual Report FY24 - ICICIPRULI,Annual Report,https://www.icicipruli.com/reports/fy24.pdf
56,Annual Report FY24 - TECHM,Annual Report,https://www.techm.com/reports/fy24.pdf
57,Annual Report FY24 - HEROMOTOCO,Annual Report,https://www.heromotoco.com/reports/fy24.pdf
58,Annual Report FY24 - EICHERMOT,Annual Report,https://www.eichermot.com/reports/fy24.pdf
59,Annual Report FY24 - APOLLOHOSP,Annual Report,https://www.apollohosp.com/reports/fy24.pdf
60,Annual Report FY24 - DRREDDY,Annual Report,https://www.drreddy.com/reports/fy24.pdf
61,Annual Report FY24 - VARUNBEV,Annual Report,https://www.varunbev.com/reports/fy24.pdf
62,Annual Report FY24 - AMBUJACEM,Annual Report,https://www.ambujacem.com/reports/fy24.pdf
63,Annual Report FY24 - TATAELXSI,Annual Report,https://www.tataelxsi.com/reports/fy24.pdf
64,Annual Report FY24 - ABB,Annual Report,https://www.abb.com/reports/fy24.pdf
65,Annual Report FY24 - MOTHERSON,Annual Report,https://www.motherson.com/reports/fy24.pdf
66,Annual Report FY24 - BOSCHLTD,Annual Report,https://www.boschltd.com/reports/fy24.pdf
67,Annual Report FY24 - INDIGO,Annual Report,https://www.indigo.com/reports/fy24.pdf
68,Annual Report FY24 - SRF,Annual Report,https://www.srf.com/reports/fy24.pdf
69,Annual Report FY24 - POLYCAB,Annual Report,https://www.polycab.com/reports/fy24.pdf
70,Annual Report FY24 - LODHA,Annual Report,https://www.lodha.com/reports/fy24.pdf
71,Annual Report FY24 - JIOFIN,Annual Report,https://www.jiofin.com/reports/fy24.pdf
72,Annual Report FY24 - MUTHOOTFIN,Annual Report,https://www.muthootfin.com/reports/fy24.pdf
73,Annual Report FY24 - CANBK,Annual Report,https://www.canbk.com/reports/fy24.pdf
74,Annual Report FY24 - TATACOMM,Annual Report,https://www.tatacomm.com/reports/fy24.pdf
75,Annual Report FY24 - MAXHEALTH,Annual Report,https://www.maxhealth.com/reports/fy24.pdf
76,Annual Report FY24 - PAGEIND,Annual Report,https://www.pageind.com/reports/fy24.pdf
77,Annual Report FY24 - COLPAL,Annual Report,https://www.colpal.com/reports/fy24.pdf
78,Annual Report FY24 - ICICIGI,Annual Report,https://www.icicigi.com/reports/fy24.pdf
79,Annual Report FY24 - IDFCFIRSTB,Annual Report,https://www.idfcfirstb.com/reports/fy24.pdf
80,Annual Report FY24 - TATAINVEST,Annual Report,https://www.tatainvest.com/reports/fy24.pdf
81,Annual Report FY24 - PERSISTENT,Annual Report,https://www.persistent.com/reports/fy24.pdf
82,Annual Report FY24 - TATACHEM,Annual Report,https://www.tatachem.com/reports/fy24.pdf
83,Annual Report FY24 - MANKIND,Annual Report,https://www.mankind.com/reports/fy24.pdf
84,Annual Report FY24 - PAYTM,Annual Report,https://www.paytm.com/reports/fy24.pdf
85,Annual Report FY24 - POLICYBZR,Annual Report,https://www.policybzr.com/reports/fy24.pdf
86,Annual Report FY24 - AWL,Annual Report,https://www.awl.com/reports/fy24.pdf
87,Annual Report FY24 - IRCTC,Annual Report,https://www.irctc.com/reports/fy24.pdf
88,Annual Report FY24 - PFC,Annual Report,https://www.pfc.com/reports/fy24.pdf
89,Annual Report FY24 - RECLTD,Annual Report,https://www.recltd.com/reports/fy24.pdf
90,Annual Report FY24 - SAIL,Annual Report,https://www.sail.com/reports/fy24.pdf
91,Annual Report FY24 - VEDL,Annual Report,https://www.vedl.com/reports/fy24.pdf
92,Annual Report FY24 - WIPRO,Annual Report,https://www.wipro.com/reports/fy24.pdf
