company_id,type,description
32,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
32,CON,Stock is trading at 4.2x its book value
33,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
33,CON,Stock is trading at 4.2x its book value
34,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
34,CON,Stock is trading at 4.2x its book value
35,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
35,CON,Stock is trading at 4.2x its book value
36,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
36,CON,Stock is trading at 4.2x its book value
37,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
37,CON,Stock is trading at 4.2x its book value
38,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
38,CON,Stock is trading at 4.2x its book value
39,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
39,CON,Stock is trading at 4.2x its book value
40,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
40,CON,Stock is trading at 4.2x its book value
41,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
41,CON,Stock is trading at 4.2x its book value
42,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
42,CON,Stock is trading at 4.2x its book value
43,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
43,CON,Stock is trading at 4.2x its book value
44,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
44,CON,Stock is trading at 4.2x its book value
45,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
45,CON,Stock is trading at 4.2x its book value
46,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
46,CON,Stock is trading at 4.2x its book value
47,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
47,CON,Stock is trading at 4.2x its book value
48,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
48,CON,Stock is trading at 4.2x its book value
49,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
49,CON,Stock is trading at 4.2x its book value
50,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
50,CON,Stock is trading at 4.2x its book value
51,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
51,CON,Stock is trading at 4.2x its book value
52,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
52,CON,Stock is trading at 4.2x its book value
53,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
53,CON,Stock is trading at 4.2x its book value
54,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
54,CON,Stock is trading at 4.2x its book value
55,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
55,CON,Stock is trading at 4.2x its book value
56,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
56,CON,Stock is trading at 4.2x its book value
57,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
57,CON,Stock is trading at 4.2x its book value
58,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
58,CON,Stock is trading at 4.2x its book value
59,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
59,CON,Stock is trading at 4.2x its book value
60,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
60,CON,Stock is trading at 4.2x its book value
61,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
61,CON,Stock is trading at 4.2x its book value
62,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
62,CON,Stock is trading at 4.2x its book value
63,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
63,CON,Stock is trading at 4.2x its book value
64,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
64,CON,Stock is trading at 4.2x its book value
65,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
65,CON,Stock is trading at 4.2x its book value
66,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
66,CON,Stock is trading at 4.2x its book value
67,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
67,CON,Stock is trading at 4.2x its book value
68,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
68,CON,Stock is trading at 4.2x its book value
69,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
69,CON,Stock is trading at 4.2x its book value
70,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
70,CON,Stock is trading at 4.2x its book value
71,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
71,CON,Stock is trading at 4.2x its book value
72,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
72,CON,Stock is trading at 4.2x its book value
73,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
73,CON,Stock is trading at 4.2x its book value
74,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
74,CON,Stock is trading at 4.2x its book value
75,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
75,CON,Stock is trading at 4.2x its book value
76,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
76,CON,Stock is trading at 4.2x its book value
77,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
77,CON,Stock is trading at 4.2x its book value
78,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
78,CON,Stock is trading at 4.2x its book value
79,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
79,CON,Stock is trading at 4.2x its book value
80,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
80,CON,Stock is trading at 4.2x its book value
81,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
81,CON,Stock is trading at 4.2x its book value
82,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
82,CON,Stock is trading at 4.2x its book value
83,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
83,CON,Stock is trading at 4.2x its book value
84,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
84,CON,Stock is trading at 4.2x its book value
85,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
85,CON,Stock is trading at 4.2x its book value
86,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
86,CON,Stock is trading at 4.2x its book value
87,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
87,CON,Stock is trading at 4.2x its book value
88,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
88,CON,Stock is trading at 4.2x its book value
89,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
89,CON,Stock is trading at 4.2x its book value
90,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
90,CON,Stock is trading at 4.2x its book value
91,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
91,CON,Stock is trading at 4.2x its book value
92,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
92,CON,Stock is trading at 4.2x its book value
