company_id,ticker,company_name,bse_code,nse_code,sector_id,sector,industry,website,face_value
76,PAGEIND,PAGEIND India Limited,500076,PAGEIND,5,Automobile,Automobile Industry,https://www.pageind.com,10.0
77,COLPAL,COLPAL India Limited,500077,COLPAL,6,Metals,Metals Industry,https://www.colpal.com,10.0
78,ICICIGI,ICICIGI India Limited,500078,ICICIGI,7,Pharma,Pharma Industry,https://www.icicigi.com,10.0
79,IDFCFIRSTB,IDFCFIRSTB India Limited,500079,IDFCFIRSTB,8,Power,Power Industry,https://www.idfcfirstb.com,10.0
80,TATAINVEST,TATAINVEST India Limited,500080,TATAINVEST,9,Construction,Construction Industry,https://www.tatainvest.com,10.0
81,PERSISTENT,PERSISTENT India Limited,500081,PERSISTENT,1,Financial Services,Financial Services Industry,https://www.persistent.com,10.0
82,TATACHEM,TATACHEM India Limited,500082,TATACHEM,2,IT,IT Industry,https://www.tatachem.com,10.0
83,MANKIND,MANKIND India Limited,500083,MANKIND,3,Oil & Gas,Oil & Gas Industry,https://www.mankind.com,10.0
84,PAYTM,PAYTM India Limited,500084,PAYTM,4,Consumer Goods,Consumer Goods Industry,https://www.paytm.com,10.0
85,POLICYBZR,POLICYBZR India Limited,500085,POLICYBZR,5,Automobile,Automobile Industry,https://www.policybzr.com,10.0
86,AWL,AWL India Limited,500086,AWL,6,Metals,Metals Industry,https://www.awl.com,10.0
87,IRCTC,IRCTC India Limited,500087,IRCTC,7,Pharma,Pharma Industry,https://www.irctc.com,10.0
88,PFC,PFC India Limited,500088,PFC,8,Power,Power Industry,https://www.pfc.com,10.0
89,RECLTD,RECLTD India Limited,500089,RECLTD,9,Construction,Construction Industry,https://www.recltd.com,10.0
90,SAIL,SAIL India Limited,500090,SAIL,1,Financial Services,Financial Services Industry,https://www.sail.com,10.0
91,VEDL,VEDL India Limited,500091,VEDL,2,IT,IT Industry,https://www.vedl.com,10.0
92,WIPRO,WIPRO India Limited,500092,WIPRO,3,Oil & Gas,Oil & Gas Industry,https://www.wipro.com,10.0
