amfi_code,scheme_name,fund_house,category,daily_mean_ret_pct,daily_std_dev_pct,var_95_pct,cvar_95_pct,min_daily_return_pct,max_daily_return_pct
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,0.0236,0.7449,-1.26,-1.63,-2.95,3.06
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,0.0768,0.7575,-1.26,-1.63,-2.95,3.0
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,0.0603,0.766,-1.25,-1.62,-2.63,3.12
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,0.0507,0.7819,-1.25,-1.7,-3.15,2.84
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,0.0619,0.7545,-1.23,-1.63,-2.85,2.82
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,0.0609,0.7768,-1.22,-1.61,-3.81,3.4
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,0.0561,0.7433,-1.21,-1.61,-2.58,2.91
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,0.0441,0.746,-1.21,-1.55,-2.54,3.59
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,0.0499,0.7402,-1.21,-1.61,-2.59,2.71
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,0.0656,0.733,-1.18,-1.52,-2.77,3.51
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,0.0373,0.7175,-1.17,-1.52,-2.38,2.86
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,0.0429,0.692,-1.1,-1.49,-2.55,3.05
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,0.0482,0.6844,-1.1,-1.44,-2.11,2.56
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,0.0159,0.2115,-0.34,-0.46,-0.77,0.82
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,0.0144,0.2125,-0.33,-0.45,-0.89,0.77
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,0.0122,0.2081,-0.33,-0.46,-0.82,0.88
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,0.0191,0.0289,-0.02,-0.03,-0.07,0.12
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,0.0183,0.0297,-0.02,-0.04,-0.07,0.13
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,0.0173,0.0291,-0.02,-0.04,-0.08,0.12
