amfi_code,scheme_name,fund_house,category,sub_category,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct,sharpe_ratio,sortino_ratio,alpha_pct,beta,max_drawdown_pct,worst_dd_period,expense_ratio_pct,fund_score,overall_rank
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,Mid Cap,22.5,7.76,6.7,-0.06,-0.08,7.8,0.02,-24.0,2023-11-09 to 2024-10-17,1.56,34.5,28
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Small Cap,13.95,-1.34,2.05,-0.14,-0.19,4.88,0.06,-52.57,2023-01-17 to 2025-10-28,0.72,34.3,29
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Small Cap,-23.99,-4.15,7.94,0.05,0.08,10.9,-0.07,-35.45,2024-11-21 to 2026-05-11,1.53,31.4,30
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Liquid,7.43,7.39,7.24,-3.65,-7.21,6.75,-0.0,-0.1,2025-10-16 to 2025-10-20,0.74,28.9,31
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Liquid,7.12,6.7,6.92,-4.0,-7.77,6.46,-0.0,-0.12,2024-04-12 to 2024-04-30,0.6,28.7,32
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Gilt,10.45,4.06,5.32,-0.85,-1.24,5.07,0.0,-8.32,2023-02-09 to 2024-02-09,0.55,28.6,33
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Gilt,5.52,5.84,5.89,-0.74,-1.05,5.62,-0.01,-4.33,2024-09-16 to 2025-04-01,0.77,27.3,34
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Small Cap,-42.8,-11.71,1.52,-0.15,-0.22,4.8,-0.07,-51.68,2025-05-22 to 2026-05-11,1.38,27.1,35
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Short Duration,3.7,3.92,4.46,-1.04,-1.46,4.28,0.0,-4.31,2023-05-23 to 2023-07-28,0.56,24.9,36
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Liquid,7.24,6.32,6.51,-4.65,-8.74,6.09,0.0,-0.16,2023-09-05 to 2023-09-12,0.79,24.1,37
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Mid Cap,-16.8,-0.77,1.17,-0.29,-0.42,2.9,-0.04,-28.0,2025-01-07 to 2026-04-27,1.51,23.4,38
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,-2.22,1.29,2.64,-0.32,-0.47,3.75,-0.06,-24.73,2022-03-30 to 2022-09-15,1.55,21.8,39
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Large Cap,1.61,0.53,6.37,-0.13,-0.19,6.9,0.01,-14.4,2023-10-12 to 2025-02-07,1.64,20.4,40
